round,avg. scores
0,18.700998439741095
1,19.178149022462843
2,19.68542896227111
3,19.66667041049946
4,19.865801735351127
5,19.96977563277993
6,19.96691704173275
7,20.058324116165092
8,20.063875572227232
9,20.189014786997642
10,20.056280826193152
11,20.165933493710202
12,20.165307444604174
13,20.21735224333747
14,20.103073873644206
15,20.203904252803376
16,20.13149610210441
17,20.05718840840558
18,20.097740973537487
19,20.16037618017321
20,20.123481595065122
21,20.209529252720962
22,20.130017139574655
23,20.145442690160642
24,20.076255381102982
25,20.103351796564212
26,20.22442555147759
27,20.180404872138393
28,20.043129746383606
29,20.276791016750618
30,20.138868833998053
31,20.119146950410652
32,20.108505758012925
33,20.141149583473766
34,20.098406078091344
35,20.07046728126709
36,20.10105505892746
37,20.127823116268228
38,20.191627523622678
39,20.195650653071812
40,20.136962663385784
41,20.17641292283483
42,20.174595893480493
43,20.170088998028472
44,20.14006335760846
45,20.221294837753472
46,20.178520213735084
47,20.179562660642954
48,20.163401064592186
49,20.186043249712036
50,20.11183948293762
51,20.14972955610219
52,20.14659228134059
53,20.20472413936538
54,20.09146028679961
55,20.16819214806612
56,20.110983035902418
57,20.15398231132138
58,20.088814322944764
59,20.09112421098103
60,20.153153443983875
61,20.188509682465515
62,20.028639890776528
63,20.144758196215996
64,20.09559716299445
65,20.16296884979011
66,20.09089260459816
67,20.18549154988959
68,20.15742230131653
69,20.168055304759076
70,20.143187332867047
71,20.263036450642602
72,20.15338935934698
73,20.15383408432817
74,20.09783149536498
75,20.132475160210678
76,20.067866549145844
77,20.259337685982256
78,20.17557079474355
79,20.226246599532963
80,20.103104532029807
81,20.129064689288843
82,20.27351136095196
83,20.236124307853697
84,20.184543246361617
85,20.139574015329686
86,20.131368766550384
87,20.07120853519396
88,20.19612785683277
89,20.202633403817924
90,20.111838674641792
91,20.085051727645197
92,20.15561636021743
93,20.110935117697846
94,20.14646520027811
95,20.19132932334328
96,20.17049200475554
97,20.171265449638476
98,20.168251828700843
99,20.140485434389877
100,20.15178817042925
101,20.176346518232478
102,20.23761505760314
103,20.221932033969786
104,20.18557384108948
105,20.307990106245864
106,20.14512389496897
107,20.159203015615535
108,20.178955390068882
109,20.19785934328654
110,20.190369929393515
111,20.194902359823736
112,20.151582737173367
113,20.168543245520677
114,20.111356849794372
115,20.22754159576518
116,20.15680276745769
117,20.19882301147773
118,20.14675260534193
119,20.254000042311308
120,20.16231349737735
121,20.196884037062112
122,20.177603016077114
123,20.105737562757717
124,20.254847725478562
125,20.206469219216675
126,20.141552975981664
127,20.176854769596424
128,20.21627189478188
129,20.210088963457476
130,20.1371352864116
131,20.23801890439413
132,20.204281395730554
133,20.256993183699556
134,20.18250261859779
135,20.133562594952174
136,20.30502616552953
137,20.197673253421634
138,20.20084566797274
139,20.201085753160864
140,20.1826455124798
141,20.203781015540407
142,20.282386012230337
143,20.08291987268993
144,20.171185467062067
145,20.235588711888393
146,20.232644975594226
147,20.240712540887337
148,20.199342966128377
149,20.24455358045335
150,20.237694747623515
151,20.228759858320576
152,20.219488815900192
153,20.2315290308548
154,20.282886621001573
155,20.12740997301637
156,20.191201232234388
157,20.215645943226026
158,20.16208584504182
159,20.180751043619274
160,20.22825267713746
161,20.183886856565504
162,20.163483612450992
163,20.283477464599674
164,20.22022107084623
165,20.286878182779155
166,20.18714800796906
167,20.149023651688637
168,20.12354735159872
169,20.225053477336754
170,20.23766417302978
171,20.207683251566547
172,20.21687175571362
173,20.19684325915514
174,20.178783150909968
175,20.266554211386755
176,20.299305016688415
177,20.277834125663666
178,20.213689599822068
179,20.17698056058111
180,20.212255117496376
181,20.15374062456574
182,20.24850753550131
183,20.176956082917826
184,20.201360475805945
185,20.281371988411188
186,20.17572339865803
187,20.246889849930497
188,20.282921863029987
189,20.178663447862295
190,20.233160932797357
191,20.30497407371242
192,20.17220963304649
193,20.19340592725439
194,20.354660355938677
195,20.23566889311616
196,20.254736872680024
197,20.235286403344343
198,20.269229681199455
199,20.230085681807935
