round,avg. scores
0,31.32990870629311
1,31.603596994180663
2,31.677261720807422
3,32.143456710438485
4,32.10794065280885
5,32.2085055866876
6,32.1637426034026
7,32.187373883050384
8,32.08724186749451
9,32.10116554117256
10,31.916117780210925
11,32.1708166585256
12,32.19946961956465
13,32.063777055104936
14,32.200187344703565
15,32.207852482340925
16,32.048088923360616
17,32.138000082416966
18,32.15042486844934
19,32.05020867329678
20,32.40519345468503
21,32.09992994875878
22,32.07310142409696
23,32.01947852017763
24,32.259309253290866
25,32.19766979541867
26,32.152056625109566
27,32.25389823756586
28,32.12768131864211
29,32.29788345087813
30,32.005635606040514
31,31.909423861737928
32,31.910670718170287
33,32.028955483630526
34,32.0969572175821
35,32.012188042225695
36,32.06000235930252
37,32.10891353149013
38,31.910280544592336
39,32.27549973292727
40,32.14930187788031
41,32.16037128645753
42,32.26593717332774
43,31.85409410713662
44,32.01842497823804
45,32.106502780025195
46,32.07748106376889
47,31.983293270119326
48,32.370922463527066
49,32.219121827025134
50,32.18251041979889
51,32.119411306057835
52,32.06147367475506
53,32.17002538336755
54,32.139283909279186
55,32.105662399248324
56,32.13209170287343
57,31.87382753842969
58,32.255591723261
59,32.090894125557966
60,32.16689243485007
61,32.05752975011954
62,32.10775489911899
63,32.16598222968692
64,31.872218908016208
65,32.20811272660761
66,32.19398271247198
67,32.080540345399406
68,32.12108214164132
69,32.17583567831725
70,31.96145166494798
71,32.13889411300252
72,32.07350804327808
73,32.0752733987853
74,32.05542592851845
75,32.1929924276036
76,32.11354550912534
77,32.30299472078425
78,32.230696429698995
79,32.15208399826757
80,32.070386610303466
81,32.10885430585334
82,32.29165552086603
83,32.17422730320392
84,32.01159233031433
85,31.962646416094326
86,32.37720458098306
87,31.877585239569918
88,31.810153168194642
89,31.99228381471707
90,32.131510508157795
91,32.00960683278203
92,32.17254420328751
93,32.2836048566533
94,31.933106309667473
95,32.00819233600548
96,32.21953990519154
97,32.11609291882519
98,32.11797720965863
99,32.07958248908629
